A11,,A8,,A6,,A4,,A2,
X,Y,X,Y,X,Y,X,Y,X,Y
1025.7981680520993,2146.808087966841,1021.8713047775366,995.6741404119155,1025.7981680520993,585.6812275841339,1021.8713047775366,292.7608831046118,1021.8713047775366,104.96692652964884
1068.9936640722897,2101.173678671907,1065.066800797727,979.4273350084839,1068.9936640722897,578.2745957090401,1065.066800797727,288.93810536262754,1065.066800797727,101.62199600541271
1112.1891600924798,2058.8841999012093,1108.262296817917,965.0919184760437,1112.1891600924798,570.629040225072,1108.262296817917,288.938105362628,1108.262296817917,94.4542877391932
1155.3846561126702,2016.1168739127636,1151.4577928381075,951.7121963790996,1155.3846561126702,561.5499430878604,1151.4577928381075,282.0093207052819,1151.4577928381075,94.4542877391932
1198.5801521328603,1977.1723256663017,1194.6532888582976,937.615703455534,1198.5801521328603,551.9929987329006,1194.6532888582976,281.05362626978604,1194.6532888582976,94.4542877391932
1241.7756481530507,1938.705624637588,1237.848784878488,924.4749049674642,1241.7756481530507,544.3474432489324,1237.848784878488,281.05362626978604,1237.848784878488,94.4542877391932
1284.9711441732409,1899.5221527822523,1281.0442808986782,913.7233425681343,1284.9711441732409,537.1797349827125,1281.0442808986782,273.8859180035661,1281.0442808986782,94.4542877391932
1328.1666401934312,1862.2500697979085,1324.2397769188683,899.3879260356944,1328.1666401934312,532.1623391963585,1324.2397769188683,273.1691471769441,1324.2397769188683,94.4542877391932
1371.3621362136214,1827.3672229023048,1367.4352729390587,886.9638983742461,1371.3621362136214,525.4724781478867,1367.4352729390587,273.1691471769441,1367.4352729390587,94.4542877391932
1414.5576322338118,1793.9179176599448,1410.6307689592488,876.4512595837905,1414.5576322338118,518.0658462727924,1410.6307689592488,268.1517513905901,1410.6307689592488,91.34828082383092
1457.753128254002,1760.7075360264591,1453.8262649794392,866.6553916199568,1457.753128254002,510.89813800657294,1453.8262649794392,262.656508386488,1453.8262649794392,83.94164894873711
1500.948624274192,1729.1696196550913,1497.0217609996294,854.9481347851306,1500.948624274192,504.4472005669745,1497.0217609996294,262.656508386488,1497.0217609996294,83.94164894873711
1544.1441202943824,1698.3484741103455,1540.2172570198197,844.6744196035488,1544.1441202943824,498.23518673625085,1540.2172570198197,262.656508386488,1540.2172570198197,83.94164894873711
1587.3396163145726,1667.0494813478517,1583.4127530400099,833.9228572042189,1587.3396163145726,494.6513326031409,1583.4127530400099,255.96664733801617,1583.4127530400099,83.94164894873711
1630.535112334763,1638.3786482829717,1626.6082490602003,825.3216072847549,1630.535112334763,488.6782423812906,1626.6082490602003,252.14386959603235,1626.6082490602003,83.94164894873711
1673.7306083549531,1609.2299680003441,1669.8037450803904,815.0478921031727,1673.7306083549531,482.46622855056694,1669.8037450803904,252.14386959603235,1669.8037450803904,83.94164894873711
1716.9261043751435,1581.0369821532124,1712.9992411005808,804.535253312717,1716.9261043751435,478.16560359083496,1712.9992411005808,252.14386959603235,1712.9992411005808,83.94164894873711
1760.1216003953336,1554.2775379593247,1756.194737120771,794.7393853488829,1760.1216003953336,469.564353671371,1756.194737120771,248.7989390717962,1756.194737120771,83.94164894873711
1803.317096415524,1528.2348645920586,1799.3902331409613,789.005218735907,1803.317096415524,467.414041191505,1799.3902331409613,241.63123080557625,1799.3902331409613,83.94164894873711
1846.5125924357142,1503.147885660289,1842.5857291611514,780.1650452075692,1846.5125924357142,457.85709683654477,1842.5857291611514,241.63123080557625,1842.5857291611514,83.94164894873711
1889.7080884559045,1477.105212293023,1885.7812251813416,770.3691772437351,1889.7080884559045,456.9014024010489,1885.7812251813416,241.63123080557625,1885.7812251813416,77.72963511801345
1932.9035844760947,1451.062538925757,1928.976721201532,761.0511564976491,1932.9035844760947,449.2558469170808,1928.976721201532,241.63123080557625,1928.976721201532,73.42901015828147
1976.0990804962848,1429.0815669093495,1972.1722172217221,754.1223718403035,1976.0990804962848,448.300152481585,1972.1722172217221,236.61383501922228,1972.1722172217221,73.42901015828147
2019.294576516475,1402.7999699332095,2015.3677132419125,746.7157399652092,2019.294576516475,441.3713678242393,2015.3677132419125,233.7467517127343,2015.3677132419125,73.42901015828147
2062.4900725366656,1381.2968451345496,2058.5632092621026,739.7869553078631,2062.4900725366656,440.89352060649117,2058.5632092621026,233.7467517127343,2058.5632092621026,73.42901015828147
