A8,,A6,,A4,,A3,,A2,
X,Y,X,Y,X,Y,X,Y,X,Y
3265.184726,640.7126785,3265.184726,330.3301649,3265.184726,227.2121964,3265.184726,104.1649447,3282.55078,51.83450429
3312.941375,634.5410295,3312.941375,328.5301006,3312.941375,225.7978601,3312.941375,104.1649447,3330.30743,51.83450429
3360.698025,630.5551729,3360.698025,326.2157322,3360.698025,224.3835239,3360.698025,101.2076962,3378.06408,51.83450429
3408.454675,625.9264361,3408.454675,324.1585159,3408.454675,223.4834918,3408.454675,99.92193599,3425.820729,51.83450429
3456.211325,621.4262754,3456.211325,322.3584516,3456.211325,221.5548514,3456.211325,99.92193599,3473.577379,51.44877623
3503.967974,617.9547229,3503.967974,317.7297148,3503.967974,221.5548514,3503.967974,99.92193599,3521.334029,47.59149561
3551.724624,612.683106,3551.724624,316.7011067,3551.724624,216.7975387,3551.724624,99.92193599,3569.090678,47.59149561
3599.481274,609.2115535,3599.481274,314.9010424,3599.481274,215.8975065,3599.481274,99.53620793,3616.847328,47.59149561
3647.237923,605.7400009,3647.237923,312.586674,3647.237923,214.9974744,3647.237923,97.09326353,3664.603978,47.59149561
3694.994573,600.4683841,3694.994573,311.9437939,3694.994573,213.0688341,3694.994573,97.09326353,3712.360628,47.59149561
3742.751223,597.3825596,3742.751223,306.6721771,3742.751223,213.0688341,3742.751223,97.09326353,3760.117277,47.59149561
3790.507873,594.039583,3790.507873,306.029297,3790.507873,211.1401938,3790.507873,97.09326353,3807.873927,47.33434357
3838.264522,589.0251182,3838.264522,303.5863526,3838.264522,210.2401616,3838.264522,97.09326353,3855.630577,43.34848694
3886.021172,586.1964458,3886.021172,302.9434725,3886.021172,210.1115856,3886.021172,97.09326353,3903.387226,43.34848694
3933.777822,583.3677733,3933.777822,300.7576801,3933.777822,204.8399688,3933.777822,93.23598292,3951.143876,43.34848694
3977.192958,578.1247289,3979.363715,300.050512,3977.192958,204.5828167,3977.192958,92.69310639,3985.875985,43.34848694
